VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0CA2A10FS800257,Porsche,POR918SPYD,,POR918SPYD,2015,865,Pompano Beach,FL,2018-02-11,2199999,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=477289486&make=POR&dealer_id=57876696&VIN=122|64|-7|-63|65|19|-4|100|79|-82|-37|-1|21|-6|-85|111|25|89|21|-85|115|-80|-47|-43|&partner=ATD_W,White,Black/Acid Green,Auto,,Used 2015 Porsche 918 Spyder,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=477289486&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=POR918SPYD,,"- Options: GLARE REDUCING INTERIOR PACKAGE, CUPHOLDER, LIFTING SYSTEM FRONT AXLE, PAINTED KEY W/LEATHER KEY POUCH, HOMELINK 315 MHZ, CARBON FLOORMAT W/ACID GREEN PIPING, BURMESTER HIGH-END SURROUND SOUND-SYSTEM, LIGHTWEIGHT BUCKET SEATS, AUTOMATIC AIR CONDITIONING, STONE SHIELD, SEAT BELTS W/ACCENT STRIPES ACID GREEN, WHITE, BLACK/ACID GREEN, LEATHER TRIM",0,2018-02-11,,AWD
VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0AE2A94BS778159,Porsche,911,GT2 RS Coupe,911 GT2 RS Coupe,2011,4057,Fort Lauderdale,FL,2018-02-11,519900,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=476241075&make=POR&dealer_id=63465261&VIN=-94|57|114|96|21|-45|30|-93|-90|-100|98|42|-91|-7|20|95|40|44|70|125|75|15|-46|-49|&partner=ATD_W,Red,Black,Manual,,Used 2011 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=476241075&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"2011 Porsche 911 GT2 RS Ferrari-Maserati of Fort Lauderdale is thrilled to present this amazing Porsche 911 GT2 RS. Finished in Guards Red over Black Leather and Red Alcantara, the 911 GT2 RS has been driven very few easy miles. Expertly maintained by an Authorized Porsche Dealer, it is in pristine condition from top to bottom. Do not miss the rare opportunity to add this 997-generation GT2 RS to your collection, as only 131 units were produced for the US market! This 911 GT2 RS has been equipped with many fine options including: - Carbon Fiber Front Fenders ($6,840) - Deviated Stitching (Front Seats, Dashboard, Center Console, etc $2,790) - Wheels Painted in Black ($2,530) - PCM Package in Leather ($2,225) - Additional Interior Carbon Package ($1,760) - Rear Center Console in Carbon Fiber ($1,625) - Thicker Steering Wheel in Black and Red Alcantara ($1,295) - Satellite Radio ($750) - Sound Package Plus ($700) - Sport Chrono Package Plus ($690) - Auto-Dimming Mirrors with Rain Sensor ($690) - Clear Tail Lights ($610) - Storage Bin Lid in Red Alcantara with Logo ($490) - Steering Column Casing in Leather ($465) - Universal Audio Interface ($345) - Navigation Module ($345) - Porsche Crest on Headrests ($285) - Aluminum Foot Rest ($250) - Bluetooth - Adaptive Sport Seats - $270,635 MSRP If you are in the market for a Porsche 911 GT2 RS, please call or email us today.",0,2018-02-11,,2WD
VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0CA29825L001509,Porsche,CARRERAGT,,CARRERAGT,2005,30564,NEWARK,DE,2018-02-11,595995,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=458872150&make=POR&dealer_id=70788051&VIN=-37|64|-121|96|-80|-96|-118|20|27|-125|-64|-56|-88|122|-110|-28|-98|19|110|-92|126|-120|-32|117|&partner=ATD_W,Gray,Dark Gray,Manual,,Used 2005 Porsche Carrera GT,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=458872150&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=CARRERAGT,,CARFAX ONE-OWNER!!! CARRERA GT CUSTOM TAILORING... CAR COVER... HANDBRAKE LEVER W/PORSCHE LOGO... PORSCHE ONLINE PRO CD RADIO... ALUMINUM LOOK COVERED LOUDSPEAKERS............................ .............................,0,2018-02-11,,2WD
VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0AF2A95BS785716,Porsche,911,GT3 RS 4.0 Coupe,911 GT3 RS 4.0 Coupe,2011,15,Houston,TX,2018-02-11,679997,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=463913512&make=POR&dealer_id=100020486&VIN=113|-111|42|108|76|122|-80|46|116|-100|-121|-103|-15|-47|-104|-15|18|73|-58|-34|-110|70|50|-85|&partner=ATD_W,White,Black,Manual,,Used 2011 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=463913512&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"Porsche of North Houston proudly offers this beautiful 2011 Porsche 911 GT3 RS 4.0 in Carrara White Metallic over a Black interior with 15 miles. Original M.S.R.P. $196,480. The 911 GT3 RS is powered by a 4.0L horizontally opposed six cylinder engine producing 500 hp and 339 lb-ft of torque through a Rear Wheel Drive and a 6-Speed Manual Transmission. This 911 GT3 RS is further enhanced with the following:",0,2018-02-11,,2WD
